Customer ID,Purchase Date,Product Category,Product Price,Quantity,Total Purchase Amount,Payment Method,Customer Age,Returns,Customer Name,Age,Gender,Churn
44605,2023-05-03 21:30:02,Home,177,1,2427,PayPal,31,1.0,John Rivera,31,Female,0
44605,2023-01-17 13:14:36,Electronics,396,3,937,Cash,31,0.0,John Rivera,31,Female,0
13738,2023-07-25 05:17:24,Electronics,205,1,2773,Credit Card,27,,Lauren Johnson,27,Female,0
13738,2023-02-05 19:31:48,Books,370,5,1486,Cash,27,1.0,Lauren Johnson,27,Female,0
13738,2023-02-09 00:53:14,Electronics,40,4,4327,Cash,27,0.0,Lauren Johnson,27,Female,0
33969,2023-02-28 19:58:23,Clothing,410,3,5018,Credit Card,27,,Carol Allen,27,Male,0
33969,2023-01-05 11:15:27,Home,304,1,3883,PayPal,27,1.0,Carol Allen,27,Male,0
33969,2023-07-18 23:36:50,Books,54,2,4187,PayPal,27,0.0,Carol Allen,27,Male,0
33969,2023-07-05 15:01:04,Clothing,473,3,2881,Credit Card,27,1.0,Carol Allen,27,Male,0
42650,2023-04-29 23:31:47,Home,43,1,2312,Cash,20,0.0,Curtis Smith,20,Female,0
19917,2023-05-16 01:34:44,Clothing,392,3,1378,Credit Card,34,,Joshua Davis,34,Male,1
16921,2023-01-24 16:52:51,Books,51,3,1881,PayPal,54,1.0,Cheyenne James,54,Male,0
21035,2023-09-09 18:11:30,Home,237,2,1088,Cash,50,1.0,Peter Watson,50,Female,1
41840,2023-05-14 09:50:32,Home,418,4,1599,Credit Card,48,,Ronald Berger,48,Male,0
41840,2023-09-09 01:02:31,Home,369,5,1231,Cash,48,,Ronald Berger,48,Male,0
1254,2023-08-15 03:19:09,Home,476,1,1687,Cash,70,1.0,Mr. David Morgan,70,Male,0
1254,2023-03-21 20:00:08,Home,413,5,3742,Cash,70,0.0,Mr. David Morgan,70,Male,0
13389,2023-08-25 14:40:38,Books,408,1,3926,Credit Card,51,,Monica Ramos,51,Male,0
13389,2023-02-10 04:59:29,Clothing,312,2,4477,PayPal,51,1.0,Monica Ramos,51,Male,0
13389,2023-06-02 00:07:15,Books,40,2,2341,Credit Card,51,1.0,Monica Ramos,51,Male,0
13389,2023-04-17 16:26:40,Home,495,4,1176,Credit Card,51,0.0,Monica Ramos,51,Male,0
24473,2023-05-22 23:47:39,Home,436,3,1755,PayPal,38,1.0,Nicole Lewis,38,Female,0
11230,2023-07-08 09:56:09,Clothing,37,3,579,Cash,23,,Rebecca Boyer,23,Male,0
10191,2023-02-18 02:33:29,Home,485,5,1050,PayPal,66,,Walter Griffin,66,Male,0
16825,2023-03-18 15:00:57,Books,227,2,3400,Cash,37,0.0,Melissa Cabrera,37,Male,1
18467,2023-02-28 19:23:04,Clothing,50,1,551,PayPal,23,1.0,Terri Carter,23,Male,0
18467,2023-05-09 02:20:01,Electronics,92,4,3660,PayPal,23,0.0,Terri Carter,23,Male,0
34857,2023-02-06 19:10:18,Electronics,284,4,402,PayPal,57,0.0,Alexander Morse,57,Male,1
34857,2023-06-14 04:11:23,Books,60,2,1383,Credit Card,57,1.0,Alexander Morse,57,Male,1
11769,2023-04-01 14:48:10,Clothing,231,4,1054,Credit Card,65,0.0,John Jones,65,Male,0
22193,2023-01-11 09:32:46,Clothing,210,4,3215,Credit Card,27,0.0,Kyle Smith,27,Male,0
7340,2023-07-04 11:47:53,Books,496,3,4224,Credit Card,35,,Kim Mcdonald,35,Male,1
31538,2023-01-19 12:39:13,Home,341,4,4847,Cash,37,0.0,Joshua Maynard,37,Male,0
31538,2023-04-18 11:01:35,Books,180,2,4994,Cash,37,1.0,Joshua Maynard,37,Male,0
31538,2023-02-17 22:16:30,Home,491,4,1475,PayPal,37,0.0,Joshua Maynard,37,Male,0
33511,2023-06-07 14:18:27,Books,333,5,4456,Credit Card,56,1.0,Kathleen Brown,56,Male,1
33511,2023-07-13 15:52:51,Books,66,3,2273,Credit Card,56,0.0,Kathleen Brown,56,Male,1
5952,2023-02-07 23:39:01,Electronics,75,2,1947,PayPal,55,0.0,Elizabeth Ingram,55,Male,0
17203,2023-01-21 01:04:23,Electronics,259,3,3809,Credit Card,62,0.0,James Roberson,62,Male,0
17203,2023-06-13 07:26:18,Home,445,1,3218,PayPal,62,1.0,James Roberson,62,Male,0
17203,2023-08-10 14:48:00,Clothing,400,4,4683,PayPal,62,0.0,James Roberson,62,Male,0
2695,2023-08-17 14:08:58,Electronics,294,3,953,PayPal,45,1.0,Andrea Ross,45,Female,0
15079,2023-09-13 13:37:13,Electronics,121,5,3209,PayPal,24,,Christine Stanton,24,Male,0
21450,2023-06-14 09:39:28,Home,115,4,1310,Credit Card,39,0.0,Christopher Barber,39,Female,1
